pair,N_nonzero,median_delta_f1,wilcoxon_p,sig,interpretation
Lasso vs NIMO_MLP,30,0.01911343083855649,1.9073486328125e-06,***,Lasso > NIMO_MLP
Lasso vs RF,30,0.016861285267114556,1.9073486328125e-06,***,Lasso > RF
LassoNet vs NIMO_MLP,30,0.015568558442357605,1.9073486328125e-06,***,LassoNet > NIMO_MLP
LassoNet vs RF,30,0.013160970137001848,1.9073486328125e-06,***,LassoNet > RF
NIMO_T vs RF,30,0.0181130405069454,1.9073486328125e-06,***,NIMO_T > RF
NIMO_MLP vs NIMO_T,30,-0.01968565403948397,3.814697265625e-06,***,NIMO_MLP < NIMO_T
NIMO_MLP vs NN,30,-0.018043714560980084,0.0003223419189453125,***,NIMO_MLP < NN
NN vs RF,30,0.01185870311925924,0.0003223419189453125,***,NN > RF
NIMO_T vs NN,30,0.004782482361871621,0.002712249755859375,**,NIMO_T > NN
LassoNet vs NIMO_T,30,-0.002080105302255719,0.01923370361328125,*,LassoNet < NIMO_T
Lasso vs NIMO_T,30,-0.00357837114918369,0.05316925048828125,ns,Lasso < NIMO_T
LassoNet vs NN,30,0.0013605540717356313,0.3299827575683594,ns,LassoNet > NN
NIMO_MLP vs RF,30,-0.0016539006426383729,0.40909767150878906,ns,NIMO_MLP < RF
Lasso vs NN,30,-0.002301046332001122,0.5216732025146484,ns,Lasso < NN
Lasso vs LassoNet,30,0.00014748197078889858,0.8983173370361328,ns,Lasso > LassoNet
